generation;sosa;id;prenom;nom;sexe;source;nb_infos;nb_evenements;nb_sources;nb_parents;forme_parents;parents_mariage_date;parents_mariage_lieu;profession;sous_titre;titre_noblesse;note_titre_noblesse;nb_notes;nb_notes_longues;infos;nb_err;GeneanetSpider 1.0.26 18/04/2025 à 01:10
30;994503361;@I00612@;Emma;DE PROVENCE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=emma&n=de+provence;3;0;1;2;forme2;1019;"";"Comtesse de Provence";"";"";"";0;0;"- Née vers 975
- Décédée en 1063, à l'âge d'environ 88 ans
- Comtesse de Provence";0;
30;994503360;@I00613@;Guillaume 3 dit Taillefer;DE TOULOUSE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=guillaume+3+dit+taillefer&n=de+toulouse;3;0;1;2;forme2;1019;"";"Comte de Toulouse, Albi, Quercy";"";"";"";0;0;"- Né vers 967
- Décédé en 1037 - Toulouse, 31555, Haute Garonne, Midi-Pyrénées, France, à l'âge d'environ 70 ans
- Comte de Toulouse, Albi, Quercy";0;
31;1989008763;@I00614@;Odoacre;X ?;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=odoacre&n=x;1;0;1;0;;;"";"";"";"";"";0;0;"- Décédée";0;
30;994503385;@I00615@;Adélaïde;DE TURIN;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=adelaide&n=de+turin;1;0;1;0;;;"";"";"";"";"";0;0;"- Décédée en 1091";0;
30;994503384;@I00616@;Odon;DE SAVOIE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=odon&n=de+savoie;2;0;1;0;;;"";"";"";"";"";0;0;"- Né en 1020
- Décédé en 1057, à l'âge de 37 ans";0;
30;994503377;@I00617@;Constance;DE PROVENCE OU D'ARLES;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=constance&n=de+provence+ou+d+arles;2;0;1;2;forme2;1003;"";"";"";"";"";1;0;"- Née en 984
- Décédée le 25 juillet 1032 - Melun, 77288, Seine et Marne, Ile-de-France, France, à l'âge de 48 ans
@todo note 'Union avec Robert 2 Le Pieux CAPET' de Constance DE PROVENCE OU D'ARLES à analyser : 'lui : 3eme mariage'";0;
30;994503387;@I00618@;Thetberge;DE RHEINFELDEN;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=thetberge&n=de+rheinfelden;2;0;1;0;;;"";"";"";"";"";0;0;"- Née en 1032
- Décédée en 1094, à l'âge de 62 ans";0;
30;994503376;@I00619@;Robert 2 Le Pieux;CAPET;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=robert+2+le+pieux&n=capet;3;0;1;2;forme2;1003;"";"Roi de France de 996 à 1031";"";"";"";1;0;"- Né le 27 mars 972 - Orléans, 45234, Loiret, Centre, France
- Décédé le 20 juillet 1031 - Melun, 77288, Seine et Marne, Ile-de-France, France, à l'âge de 59 ans
- Roi de France de 996 à 1031
@todo note 'Union avec Constance de PROVENCE ou d'ARLES' de Robert 2 Le Pieux CAPET à analyser : 'lui : 3eme mariage'";0;
30;994503386;@I00620@;Gérold 2;DE GENEVE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=gerold+2&n=de+geneve;2;0;1;0;;;"";"";"";"";"";0;0;"- Né vers 1015
- Décédé en 1061, à l'âge d'environ 46 ans";0;
30;994500921;@I00621@;Béliarde;??;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=beliarde&n=;2;0;1;0;;;"";"";"";"";"";0;0;"- Née vers 1000
- Décédée après 1058";0;
30;994500923;@I00622@;Gersende;DE BESALU;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=gersende&n=de+besalu;2;0;1;0;;;"";"";"";"";"";0;0;"- Née vers 995
- Décédée après 1067";0;
30;994500920;@I00623@;Guillaume Bernard 2;DE MONTPELLIER;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=guillaume+bernard+2&n=de+montpellier;3;0;1;0;;;"";"Seigneur de Montpellier";"";"";"";0;0;"- Né vers 995
- Décédé avant 1059
- Seigneur de Montpellier";0;
31;1989001868;@I00624@;Bernard Aton 3;DE LAUTREC DE TRANCAVEL;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=bernard+aton+3&n=de+lautrec+de+trancavel;2;0;1;2;forme2;;"";"";"";"";"";0;0;"- Né en 955
- Décédé en 1032, à l'âge de 77 ans";0;
30;994500922;@I00625@;Bérenger;DE NARBONNE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=berenger&n=de+narbonne;3;0;1;0;;;"";"Vicomte de Narbonne";"";"";"";0;0;"- Né vers 985
- Décédé vers 1067, à l'âge d'environ 82 ans
- Vicomte de Narbonne";0;
31;1989001869;@I00626@;Gerberge;DES BAUX;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=gerberge&n=des+baux;2;0;1;2;forme2;;"";"";"";"";"";0;0;"- Née en 980
- Décédée";0;
31;1989001923;@I00627@;Ermentrude;DES BAUX;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=ermentrude&n=des+baux;2;0;0;0;;;"";"";"";"";"";0;0;"- Née vers 955
- Décédée";0;
31;1989001922;@I00628@;Guillaume 2;DE BEZIERS;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=guillaume+2&n=de+beziers;3;0;0;0;;;"";"Vicomte de Béziers";"";"";"";0;0;"- Né après 950
- Décédé en 993
- Vicomte de Béziers";0;
31;1989001921;@I00629@;Beltrude;DES BAUX;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=beltrude&n=des+baux;2;0;0;0;;;"";"";"";"";"";0;0;"- Née en 965
- Décédée";0;
31;1989001920;@I00630@;Rostaing;DE SABRAN;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=rostaing&n=de+sabran;3;0;0;0;;;"";"Seigneur de Tresques et de Lirac";"";"";"";0;0;"- Né vers 960
- Décédé vers 1006, à l'âge d'environ 46 ans
- Seigneur de Tresques et de Lirac";0;
32;3978017505;@I00631@;Ermengarde;D'AQUITAINE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=ermengarde&n=d+aquitaine;1;0;1;0;;;"";"";"";"";"";0;0;"- Décédée";0;
32;3978017504;@I00632@;Rotbald;DE PROVENCE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=rotbald&n=de+provence;2;0;1;0;;;"";"";"";"";"";0;0;"- Né en 907
- Décédé en 950, à l'âge de 43 ans";0;
32;3978017507;@I00633@;Theuberge;DE SENS;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=theuberge&n=de+sens;2;0;1;0;;;"";"";"";"";"";0;0;"- Née en 909
- Décédée après 962";0;
32;3978017506;@I00634@;Charles Constantin;DE PROVENCE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=charles+constantin&n=de+provence;2;0;1;0;;;"";"";"";"";"";0;0;"- Né vers 910
- Décédé après 963";0;
